"Số tiết","Chủ đề theo ngày","Chủ đề theo tiết học","Nội dung cốt lõi","Tài liệu đính kèm","Type of contents","Studying Date","Lecturer","18h00-21h00","Classroom","","","","","","","","","","","","",""
"1","Cấu trúc ngành OSAT và vị trí của Conventional Packaging (đóng gói truyền thống)","Cấu trúc ngành OSAT","- IDM vs Foundry vs OSAT
- Cấu trúc ngành OSAT tại Việt Nam
- Cấu trúc doanh thu (theo loại package)
- Phạm vi vai trò của kỹ sư quy trình
- Câu hỏi: ""Vì sao trong OSAT, Yield (tỷ lệ đạt) lại đồng nghĩa với lợi nhuận?""","Slide bài giảng Samsung","Offline class","21/07/2026","ThS. Đỗ Văn Quyền","18h00-21h00","C5.101","","","","","","","","","","","","",""
"","Cấu trúc ngành OSAT và vị trí của Conventional Packaging (đóng gói truyền thống)","Các nhóm sản phẩm packaging truyền thống","- DIP
- QFP
- QFN
- SOP
- Đặc điểm cấu trúc của từng loại package","Slide bài giảng Samsung","Offline class","","","","","","","","","","","","","","","","",""
"2","Cấu trúc ngành OSAT và vị trí của Conventional Packaging (đóng gói truyền thống)","Chuyên sâu về cấu trúc Leadframe","- Thiết kế Die Pad
- Lead Pitch
- Đường dẫn tản nhiệt
- Đường dẫn điện
- Câu hỏi: ""Khi Lead Pitch (khoảng cách chân dẫn) giảm xuống thì sẽ phát sinh những vấn đề gì?""","Slide bài giảng Samsung","Offline class","","","","","","","","","","","","","","","","",""
"","Cấu trúc ngành OSAT và vị trí của Conventional Packaging (đóng gói truyền thống)","Dưới góc độ hiệu năng điện","- Chiều dài dây (wire) và điện trở
- RC Delay
- Khái niệm Crosstalk
- Nhận biết giới hạn của packaging truyền thống","Slide bài giảng Samsung","Offline class","","","","","","","","","","","","","","","","",""
"","Cấu trúc ngành OSAT và vị trí của Conventional Packaging (đóng gói truyền thống)","Dưới góc độ hiệu năng nhiệt","- Thermal Resistance
- Heat Flow
- Power Dissipation
- Case study: ""Nếu chip công suất cao được đóng gói trong DIP thì sẽ phát sinh những vấn đề gì?""","Slide bài giảng Samsung","Offline class","","","","","","","","","","","","","","","","",""
"1","Chuyên sâu quy trình Back Grinding (mài mặt sau)","Mục tiêu và vị trí Back Grinding","1) Tại sao cần làm mỏng Wafer?
- Cải thiện dẫn nhiệt
- Giảm độ dày của package
- Yêu cầu về độ mỏng để gói di động (mobile)
2) Ưu điểm và rủi ro khi giảm độ dày
3) Tầm quan trọng của Back Grinding trong OSAT","Slide bài giảng Samsung","Offline class","22/07/2026","ThS. Đỗ Văn Quyền","18h00-21h00","C5.101","","","","","","","","","","","","",""
"","Chuyên sâu quy trình Back Grinding (mài mặt sau)","Cơ chế Grinding","1) Cấu trúc Grinding Wheel
2) Kích thước hạt mài (Abrasive)
3) Feed Rate
4) Tốc độ Spindle
5) Điều kiện làm mát
- Phân tích mối quan hệ biến số – kết quả:
- Tăng Feed Rate → khả năng tăng Surface Damage","Slide bài giảng Samsung","Offline class","","","","","","","","","","","","","","","","",""
"1","Chuyên sâu quy trình Back Grinding (mài mặt sau)","Ứng suất wafer và Warpage","1) Cấu trúc sinh ứng suất bên trong
2) Ứng suất dư
3) Khái niệm đo Warpage
4) Tính dễ vỡ của wafer mỏng","Slide bài giảng Samsung","Offline class","","","","","","","","","","","","","","","","",""
"","Chuyên sâu quy trình Back Grinding (mài mặt sau)","Micro Crack và Surface Damage","1) Nguyên nhân gây Micro Crack
- Áp lực quá mức
- Mòn Wheel
2) Surface Roughness
3) Cấu trúc làm Crack lan rộng trong Dicing
4) Liên hệ đến độ tin cậy dài hạn","Slide bài giảng Samsung","Offline class","","","","","","","","","","","","","","","","",""
"","Chuyên sâu quy trình Back Grinding (mài mặt sau)","Phân tích nhạy cảm theo điều kiện Grinding","- Tăng độ chênh lệch độ dày
- Tăng Edge Damage
- Lỗi Tape Lamination","Slide bài giảng Samsung","Offline class","","","","","","","","","","","","","","","","",""
"1","Chuyên sâu quy trình Back Grinding (mài mặt sau)","Phân tích dựa trên XR","- Phân tích video công đoạn
- So sánh các trường hợp Grinding Damage
- Minh họa đường đi của Crack
- Giải thích cấu trúc lý do tăng khả năng xảy ra Crack trên wafer mỏng","Slide bài giảng Samsung","Offline class","","","","","","","","","","","","","","","","",""
"2","Phân tích chuyên sâu quy trình Dicing (cắt chip)","Mục tiêu và vị trí công đoạn Dicing","- Tách wafer → từng Die riêng lẻ
- So sánh Saw Dicing vs Laser Dicing (khái niệm)
- Ảnh hưởng của Dicing đến Yield của package","Slide bài giảng Samsung","Offline class","23/07/2026","ThS. Đỗ Văn Quyền","18h00-21h00","C5.101","","","","","","","","","","","","",""
"","Phân tích chuyên sâu quy trình Dicing (cắt chip)","Cấu trúc lưỡi cưa và cơ chế cắt (Saw Blade) ","1) Cấu tạo Blade 
- Băng kim loại
- Hạt kim cương
2) Độ dày Blade 
3) Grit Size
4) Spindle Speed
5) Feed Speed
- Phân tích mối quan hệ biến số – kết quả:
- Tăng Feed → khả năng Edge Chipping tăng
- Lưỡi cưa mòn(Blade) → tăng Burr","Slide bài giảng Samsung","Offline class","","","","","","","","","","","","","","","","",""
"","Phân tích chuyên sâu quy trình Dicing (cắt chip)","Edge Chipping & Micro Crack","1) Nguyên nhân Edge Chipping
- Tốc độ cắt quá cao
- Rung lắc lưỡi cưa
- Cooling không đủ
2) Cơ chế hình thành Micro Crack
3) Liên hệ với Damage do Back Grinding
4) Đường đi của Crack","Slide bài giảng Samsung","Offline class","","","","","","","","","","","","","","","","",""
"1","Phân tích chuyên sâu quy trình Dicing (cắt chip)","Die Strength và độ tin cậy","1) Mối quan hệ giữa độ dày Die và độ bền
2) Tỷ lệ hỏng do Dicing Damage
3) Khả năng hỏng khi Pick-up Die
4) Mở rộng Crack trong Thermal Cycling","Slide bài giảng Samsung","Offline class","","","","","","","","","","","","","","","","",""
"1","Phân tích chuyên sâu quy trình Dicing (cắt chip)","Phân tích độ nhạy biến số công đoạn","1) Phân tích các trường hợp
- Case A: Tăng Chipping
- Case B: Burr phát sinh
- Case C: Tăng Die Edge Crack
2) Chi tiết từng case
- Hạng mục kiểm tra lần 1
- Phân tích nguyên nhân
- Hướng điều chỉnh công đoạn","Slide bài giảng Samsung","Offline class","28/07/2026","ThS. Đỗ Văn Quyền","","","","","","","","","","","","","","",""
"1","Phân tích chuyên sâu quy trình Dicing (cắt chip)","Thực hành mô phỏng sự cố liên kết XR","1) Chủ đề XR
- Nội dung hậu công đoạn 2
2) Hoạt động sau XR
- Hiển thị khu vực có khả năng xảy ra Chipping
- Minh họa đường đi dẫn đến giảm Die Strength
- Liên kết giữa lỗi Dicing → lỗi Die Attach","Slide bài giảng Samsung","Offline class","28/07/2026","ThS. Đỗ Văn Quyền","","","","","","","","","","","","","","",""
"1","Chuyên sâu quy trình Die Attach (gắn chip)","Tái cấu trúc vị trí công đoạn Die Attach","1) Kiểm tra trạng thái chuẩn bị Die
- Edge Damage
- Die Thickness
- Surface Contamination
2) Kiểm tra trạng thái chuẩn bị Leadframe
3) Ảnh hưởng của lỗi Die Attach đến các công đoạn tiếp theo","Slide bài giảng Samsung","Offline class","28/07/2026","ThS. Đỗ Văn Quyền","","","","","","","","","","","","","","",""
